Transpose,128,0.078678,0.078180,0.079053
Transpose,256,0.078886,0.078601,0.079512
Transpose,512,0.079203,0.078834,0.079973
Transpose,1024,0.080565,0.080307,0.081015
Shmem,32,0.079780,0.079463,0.080378
Shmem,64,0.074245,0.073910,0.074675
Shmem,128,0.073657,0.073138,0.074106
Shmem,256,0.073530,0.073240,0.074143
Shmem,512,0.073987,0.073692,0.074372
Shmem,1024,0.076076,0.075679,0.077016
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549132,0.547189,0.555597
Shmem,128,0.073345,0.073190,0.073707
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550434,0.547246,0.558049
All_GPU,128,0.017184,0.016572,0.017330
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
All_GPU,32,0.029721,0.028974,0.030841
All_GPU,64,0.018925,0.018276,0.019354
All_GPU,128,0.016944,0.016329,0.017082
All_GPU,256,0.017537,0.016907,0.017784
All_GPU,512,0.019145,0.018402,0.020073
All_GPU,1024,0.020389,0.019567,0.020906
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.132100,0.131868,0.132550
Naive,64,0.132058,0.131830,0.132540
Naive,128,0.132308,0.132150,0.132666
Naive,256,0.132443,0.132162,0.132942
Naive,512,0.134200,0.133994,0.134712
Naive,1024,0.134919,0.134761,0.135291
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.131963,0.131767,0.132454
Naive,64,0.133371,0.133209,0.133843
Naive,128,0.132193,0.131852,0.132706
Naive,256,0.132256,0.131970,0.132836
Naive,512,0.132672,0.132306,0.133425
Naive,1024,0.136210,0.135961,0.136740
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.131924,0.131732,0.132500
Naive,64,0.131964,0.131779,0.132296
Naive,128,0.133708,0.133531,0.134088
Naive,256,0.132364,0.132110,0.132744
Naive,512,0.134042,0.133819,0.134516
Naive,1024,0.134756,0.134576,0.135271
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.133437,0.133295,0.133922
Naive,64,0.132068,0.131953,0.132466
Naive,128,0.133715,0.133540,0.134085
Naive,256,0.132403,0.132230,0.132848
Naive,512,0.132660,0.132282,0.133284
Naive,1024,0.134758,0.134422,0.135170
Transpose,32,0.088821,0.088430,0.089391
Transpose,64,0.079468,0.079074,0.080145
Transpose,128,0.078702,0.078372,0.079103
Transpose,256,0.078675,0.078395,0.079372
Transpose,512,0.078922,0.078571,0.079550
Transpose,1024,0.080405,0.080017,0.080585
Shmem,32,0.080687,0.080176,0.081459
Shmem,64,0.075540,0.075272,0.076044
Shmem,128,0.074907,0.074619,0.075560
Shmem,256,0.074639,0.074313,0.075256
Shmem,512,0.074939,0.074365,0.075594
Shmem,1024,0.077112,0.076666,0.077755
